name,html_url,size,default_branch,language
zookeeper,https://github.com/apache/zookeeper,128397,master,Java
camel,https://github.com/apache/camel,572222,main,Java
nutch,https://github.com/apache/nutch,136780,master,Java
commons-lang,https://github.com/apache/commons-lang,26071,master,Java
activemq,https://github.com/apache/activemq,58435,main,Java
hive,https://github.com/apache/hive,561127,master,Java
trafficserver,https://github.com/apache/trafficserver,132898,master,C++
jmeter,https://github.com/apache/jmeter,91357,master,Java
karaf,https://github.com/apache/karaf,67084,main,Java
bookkeeper,https://github.com/apache/bookkeeper,58252,master,Java
bigtop,https://github.com/apache/bigtop,63745,master,Groovy
kafka,https://github.com/apache/kafka,132860,trunk,Java
ambari,https://github.com/apache/ambari,365428,trunk,Java
accumulo,https://github.com/apache/accumulo,82049,main,Java
jackrabbit-oak,https://github.com/apache/jackrabbit-oak,74960,trunk,Java
dubbo,https://github.com/apache/dubbo,38969,3,Java
drill,https://github.com/apache/drill,62845,master,Java
druid,https://github.com/apache/druid,237594,master,Java
jena,https://github.com/apache/jena,422407,main,Java
tomee,https://github.com/apache/tomee,83303,master,Java
echarts,https://github.com/apache/echarts,211688,master,TypeScript
cloudstack,https://github.com/apache/cloudstack,569870,main,Java
cordova-plugin-camera,https://github.com/apache/cordova-plugin-camera,1848,master,Objective-C
cordova-plugin-file,https://github.com/apache/cordova-plugin-file,2237,master,JavaScript
cordova-plugin-inappbrowser,https://github.com/apache/cordova-plugin-inappbrowser,1782,master,Objective-C
cordova-plugin-media,https://github.com/apache/cordova-plugin-media,859,master,JavaScript
storm,https://github.com/apache/storm,205501,master,Java
usergrid,https://github.com/apache/usergrid,383452,master,Java
helix,https://github.com/apache/helix,90523,master,Java
jackrabbit-filevault,https://github.com/apache/jackrabbit-filevault,4594,master,Java
qpid-dispatch,https://github.com/apache/qpid-dispatch,39834,main,C
cxf,https://github.com/apache/cxf,123757,master,Java
spark,https://github.com/apache/spark,403520,master,Scala
streams,https://github.com/apache/streams,147991,master,Java
tajo,https://github.com/apache/tajo,30703,master,Java
incubator-brooklyn,https://github.com/apache/incubator-brooklyn,258028,master,Java
pinot,https://github.com/apache/pinot,230622,master,Java
hbase,https://github.com/apache/hbase,437860,master,Java
stratos,https://github.com/apache/stratos,67395,master,Java
phoenix,https://github.com/apache/phoenix,70565,master,Java
flink,https://github.com/apache/flink,424680,master,Java
parquet-cpp,https://github.com/apache/parquet-cpp,2700,master,C++
parquet-mr,https://github.com/apache/parquet-mr,17808,master,Java
calcite,https://github.com/apache/calcite,76558,master,Java
hadoop,https://github.com/apache/hadoop,530412,trunk,Java
reef,https://github.com/apache/reef,40208,master,Java
karaf-decanter,https://github.com/apache/karaf-decanter,8363,main,Java
commons-text,https://github.com/apache/commons-text,2737,master,Java
infrastructure-puppet,https://github.com/apache/infrastructure-puppet,44255,deployment,Python
gobblin,https://github.com/apache/gobblin,129749,master,Java
nifi,https://github.com/apache/nifi,193267,main,Java
kylin,https://github.com/apache/kylin,304908,main,Java
tinkerpop,https://github.com/apache/tinkerpop,182945,master,Java
ignite,https://github.com/apache/ignite,412735,master,Java
samza,https://github.com/apache/samza,33795,master,Java
zeppelin,https://github.com/apache/zeppelin,98047,master,Java
airflow,https://github.com/apache/airflow,143976,main,Python
groovy,https://github.com/apache/groovy,198280,master,Java
geode,https://github.com/apache/geode,210604,develop,Java
incubator-mxnet,https://github.com/apache/incubator-mxnet,97246,master,C++
orc,https://github.com/apache/orc,39668,main,HTML
flink-web,https://github.com/apache/flink-web,126363,asf-site,HTML
activemq-artemis,https://github.com/apache/activemq-artemis,63913,main,Java
trafodion,https://github.com/apache/trafodion,88977,master,C++
apex-core,https://github.com/apache/apex-core,14807,master,Java
apex-malhar,https://github.com/apache/apex-malhar,91989,master,Java
